ORDEM;PLACA;RENAVAM;CHASSI;CARROCERIA;MOTOR;MARCA/MODELO;ANO DE FABRICAÇÃO;ANO DO MODELO;MODELO DO CHASSI;CAPACIDADE;FILTRO
1137;RIY7A54;01292163337;9BM384067PB261282;BUSUCFBSNPB106700CAIO;924997U1377802;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1138;RJT6E20;01292161008;9BM384067PB261272;BUSUCFBSNPB106701CAIO;924997U1378654;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1139;RJV5I26;01292167804;9BM384067PB261292;BUSUCFBSNPB106702CAIO;924997U1378669;M.BENZ/ INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1140;RKU7D11;1318275463;9BM384067PB283362;BUSUCFBSNPB108356CAIO;924997U1398301;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1141;RKH7I06;01318274173;9BM384067PB283334;BUSUCFBSNPB108357CAIO;924997U1398537;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1142;RKP7J09;01319295468;9BM384067PB269773;BUSUCFBSNPB108419CAIO;924997U1384660;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1143;RIT7I20;01319292728;9BM384067PB281520;BUSUCFBSNPB108420CAIO;924997U1397721;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1144;RKK7J81;01319299862;9BM384067PB282320;BUSUCFBSNPB108421CAIO;924997U1397932;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1145;RJW6I63;01319301425;9BM384067PB275469;BUSUCFBSNPB108476CAIO;924997U1391760;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1146;RJV7F61;01319297916;9BM384067PB275416;BUSUCFBSNPB108477CAIO;924997U1391675;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1147;RIQ8I04;01325436051;9BM384067PB268062;BUSUCFBSNPB108478CAIO;924997U1384226;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1148;RJI8F60;01325436655;9BM384067PB268409;BUSUCFBSNPB108479CAIO;924997U1384334;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1149;LUQ9G15;01350898080;9BM384050RB322807;BUSUCFBSNRB113580CAIO;924971U1436279;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1150;LUO9A43;01350890593;9BM384050RB322556;BUSUCFBSNRB113581CAIO;924971U1435934;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1151;SQZ0B84;01363088669;9BM384050RB322551;BUSUCFBSNRB113582CAIO;924971U1435882;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1152;SRJ0D30;01362777584;9BM384050RB322549;BUSUCFBSNRB113583CAIO;924971U1435898;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
